epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2117.88,1.75971,1.54166,1.82266,0.79313,0.71484,0.77463,0.28734,1.87044,1.18824,2.09379,0.00828443,0.00828443,0.00828443
43,2158.6,1.77824,1.61221,1.85105,0.8124,0.62393,0.6653,0.25587,2.03568,1.24179,2.25583,0.00820525,0.00820525,0.00820525
44,2197.32,1.77511,1.60207,1.81372,0.76264,0.65351,0.75017,0.30007,1.82755,1.29607,2.06369,0.00812468,0.00812468,0.00812468
45,2238.46,1.84576,1.55999,1.78539,0.73628,0.7098,0.73936,0.29298,1.80763,1.28849,2.04232,0.00804277,0.00804277,0.00804277
46,2277.93,1.77426,1.52703,1.79797,0.77554,0.67797,0.74981,0.27821,1.9527,1.08424,2.12933,0.00795954,0.00795954,0.00795954
47,2318.01,1.8061,1.5885,1.81071,0.84914,0.66783,0.7679,0.28771,1.92638,1.2056,2.15041,0.00787503,0.00787503,0.00787503
48,2358.05,1.7423,1.53373,1.81551,0.64787,0.60811,0.57613,0.21151,1.99125,1.39475,2.26903,0.00778929,0.00778929,0.00778929
49,2399.75,1.75861,1.52935,1.78549,0.85932,0.67298,0.76468,0.29314,1.91252,1.15447,2.10491,0.00770234,0.00770234,0.00770234
50,2442.56,1.7428,1.52175,1.85136,0.82722,0.67797,0.77175,0.2786,2.01041,1.1543,2.1551,0.00761423,0.00761423,0.00761423
51,2483.38,1.78446,1.54586,1.75741,0.7481,0.65438,0.72431,0.28582,1.80891,1.16552,2.00991,0.007525,0.007525,0.007525
52,2522.91,1.73202,1.52401,1.74158,0.72342,0.73729,0.73933,0.32179,1.75387,1.12662,1.98235,0.00743468,0.00743468,0.00743468
53,2563.2,1.72185,1.4842,1.777,0.78799,0.81356,0.83588,0.34433,1.71279,1.02173,1.9441,0.00734332,0.00734332,0.00734332
54,2603.92,1.68392,1.49172,1.80518,0.83194,0.69492,0.77384,0.31617,1.84339,1.03363,2.03012,0.00725094,0.00725094,0.00725094
55,2641.56,1.70786,1.5331,1.77527,0.80104,0.75067,0.78176,0.33743,1.75995,1.04073,1.96074,0.00715761,0.00715761,0.00715761
56,2683.92,1.73707,1.51564,1.77336,0.74802,0.73729,0.74841,0.31181,1.98063,1.18593,2.18612,0.00706335,0.00706335,0.00706335
57,2723.87,1.72468,1.49873,1.77963,0.88217,0.71186,0.81643,0.37169,1.66058,0.94123,1.89775,0.0069682,0.0069682,0.0069682
58,2762.9,1.76591,1.51552,1.71906,0.85373,0.74197,0.8239,0.36292,1.73132,1.02545,2.00177,0.00687222,0.00687222,0.00687222
59,2802.72,1.7011,1.47592,1.77429,0.87659,0.67797,0.79999,0.32452,1.85592,1.06413,2.08785,0.00677543,0.00677543,0.00677543
60,2842.9,1.69372,1.44504,1.76674,0.81335,0.70166,0.79804,0.34055,1.72431,1.13718,1.95952,0.00667789,0.00667789,0.00667789
61,2885.07,1.70303,1.44713,1.78013,0.80136,0.72881,0.77283,0.34661,1.63979,1.04412,1.90407,0.00657963,0.00657963,0.00657963
62,2927.5,1.76141,1.49667,1.75273,0.86371,0.69819,0.80227,0.37193,1.67801,1.01943,1.94604,0.00648071,0.00648071,0.00648071
63,2968.48,1.64981,1.40677,1.77553,0.81643,0.75382,0.81061,0.34615,1.72228,1.02282,1.99618,0.00638115,0.00638115,0.00638115
64,3008.36,1.65717,1.46319,1.75957,0.85476,0.68644,0.76588,0.33837,1.89302,1.12989,2.0474,0.00628101,0.00628101,0.00628101
65,3046.9,1.71556,1.47688,1.73413,0.80342,0.69271,0.77674,0.36424,1.70592,1.04322,1.9772,0.00618034,0.00618034,0.00618034
66,3088.68,1.67009,1.42726,1.75919,0.82973,0.74338,0.81256,0.35734,1.73698,1.01297,1.99501,0.00607916,0.00607916,0.00607916
67,3131.47,1.71876,1.44632,1.74679,0.83119,0.70937,0.80355,0.34603,1.72321,1.02354,1.99224,0.00597754,0.00597754,0.00597754
68,3172.87,1.67356,1.44244,1.72907,0.87068,0.72034,0.80314,0.35464,1.70084,1.07199,1.9093,0.00587551,0.00587551,0.00587551
69,3217.09,1.68147,1.42318,1.75811,0.88063,0.68771,0.80216,0.38416,1.55565,0.91528,1.82782,0.00577311,0.00577311,0.00577311
70,3260.14,1.70541,1.41429,1.78128,0.82746,0.70339,0.80297,0.38177,1.65089,0.99095,1.884,0.0056704,0.0056704,0.0056704
71,3301,1.65657,1.44227,1.71994,0.77517,0.75424,0.80007,0.37212,1.6795,0.9747,1.92726,0.00556742,0.00556742,0.00556742
72,3342.68,1.63959,1.3927,1.73745,0.93897,0.71186,0.85699,0.40308,1.67574,0.89932,1.91781,0.00546421,0.00546421,0.00546421
73,3383.65,1.6789,1.38459,1.67608,0.84619,0.74576,0.81965,0.37297,1.63389,0.95359,1.90355,0.00536081,0.00536081,0.00536081
74,3426.13,1.63497,1.39723,1.74444,0.80092,0.71186,0.80313,0.37672,1.62932,0.96632,1.89796,0.00525728,0.00525728,0.00525728
75,3469.48,1.66562,1.3903,1.71794,0.87894,0.73834,0.82659,0.38924,1.57954,0.93243,1.86132,0.00515366,0.00515366,0.00515366
76,3512.3,1.68189,1.43427,1.72673,0.78597,0.77801,0.82787,0.37619,1.71383,0.93377,1.95378,0.00505,0.00505,0.00505
